hotelNo,hotelName,hotelInformationUrl,hotelImageUrl,reviewCount,reviewAverage
177761,東急ステイ沖縄那覇,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=177761,https://img.travel.rakuten.co.jp/share/HOTEL/177761/177761.jpg,269,4.65
148000,ハイアットリージェンシー那覇沖縄,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=148000,https://img.travel.rakuten.co.jp/share/HOTEL/148000/148000.jpg,486,4.52
176757,沖縄ハーバービューホテル,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=176757,https://img.travel.rakuten.co.jp/share/HOTEL/176757/176757.jpg,239,4.47
134763,ダイワロイネットホテル那覇おもろまち,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=134763,https://img.travel.rakuten.co.jp/share/HOTEL/134763/134763.jpg,757,4.56
71990,ホテル　ロコア　ナハ,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=71990,https://img.travel.rakuten.co.jp/share/HOTEL/71990/71990.jpg,1536,4.38
160939,ＪＲ九州ホテル　ブラッサム那覇,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=160939,https://img.travel.rakuten.co.jp/share/HOTEL/160939/160939.jpg,309,4.6
104526,ダイワロイネットホテル沖縄県庁前,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=104526,https://img.travel.rakuten.co.jp/share/HOTEL/104526/104526.jpg,918,4.15
136808,リーガロイヤルグラン沖縄,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=136808,https://img.travel.rakuten.co.jp/share/HOTEL/136808/136808.jpg,503,4.64
128440,ダイワロイネットホテル那覇国際通り,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=128440,https://img.travel.rakuten.co.jp/share/HOTEL/128440/128440.jpg,1244,4.43
167519,ノボテル沖縄那覇,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=167519,https://img.travel.rakuten.co.jp/share/HOTEL/167519/167519.jpg,219,4.39
38282,ホテルパームロイヤルNAHA国際通り,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=38282,https://img.travel.rakuten.co.jp/share/HOTEL/38282/38282.jpg,2016,4.59
181785,ヒューイットリゾート那覇,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=181785,https://img.travel.rakuten.co.jp/share/HOTEL/181785/181785.jpg,33,4.3
172986,ホテルコレクティブ,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=172986,https://img.travel.rakuten.co.jp/share/HOTEL/172986/172986.jpg,30,4.67
19934,リッチモンドホテル那覇久茂地,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=19934,https://img.travel.rakuten.co.jp/share/HOTEL/19934/19934.jpg,3611,4.28
50220,ホテルＪＡＬシティ那覇（国際通り）,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=50220,https://img.travel.rakuten.co.jp/share/HOTEL/50220/50220.jpg,1123,4.43
16443,ロワジールホテル那覇,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=16443,https://img.travel.rakuten.co.jp/share/HOTEL/16443/16443.jpg,1119,4.03
76923,那覇東急ＲＥＩホテル,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=76923,https://img.travel.rakuten.co.jp/share/HOTEL/76923/76923.jpg,1074,4.6
163087,ホテルアクアチッタナハ　ｂｙ　ＷＢＦ,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=163087,https://img.travel.rakuten.co.jp/share/HOTEL/163087/163087.jpg,255,4.46
